source,sourceUrl,title,publishDate,summary
NAVER,https://www.asiatime.co.kr/article/20250502500199,&quot;유심 재고 문자 안 보냈어요&quot;…SKT, 스미싱 주의 당부,2025-05-02T06:08:00Z,취재진 질문 받는 SKT 경영진들.(사진=연합<b>뉴스</b>) SKT는 이날 서울 중구 T타워에서 연 브리핑에서 유심 재고 문자에 대해 &quot;아직 그러한 문자를 보내지 않고 있다. 대기 순서가 되면 114 번호를 통해 발송하게 될 것&quot;이라고... 
NAVER,https://www.businesspost.co.kr/BP?command=article_view&num=393787,대법원 일격 맞은 이재명과 민주당, 양쪽 진영 결집에 결국 중도층 민심...,2025-05-02T06:08:00Z,&lt;연합<b>뉴스</b>&gt; 민주당 선거대책위원회(선대위)는 2일 대법원의 이례적인 상고심 진행과 결과를 두고 '대선 개입... &lt;연합<b>뉴스</b>&gt; 특히 국민의힘은 이 후보가 대통령에 당선되더라도 대통령의 불소추특권을 규정한 헌법 제84조... 
NAVER,http://www.m-i.kr/news/articleView.html?idxno=1235154,美 자동차부품 25% 관세 초읽기…&quot;수출 감소 우려&quot;,2025-05-02T06:06:00Z,사진=연합<b>뉴스</b> 매일일보 = 김현우 기자  |  도널드 트럼프 미국 대통령이 예고한 수입 자동차 부품 25% 관세 발효가 초읽기에 돌입한 가운데 한국의 대미 자동차 부품 수출 감소가 우려된다는 진단이 나왔다. 2일... 
NAVER,https://www.ajunews.com/view/20250502134706506,SKT, 2600개 대리점 신규 영업 중단…온라인·판매점 해당 없어 (종합),2025-05-02T06:04:00Z,[사진=연합<b>뉴스</b>] SK텔레콤(SKT)이 신규 가입자 모집을 중단하라는 정부의 행정지도 취지에 공감하면서 전국 2600개 대리점에서 신규 영업을 당분간 중단하나 소매 판매점과 온라인은 이에 해당하지 않는다. 고객용 유심... 
NAVER,https://magazine.hankyung.com/job-joy/article/202505020601d,롱블랙, 스토리 컨퍼런스 2025 성료 &quot;AI 시대에도 사람은 대체 불가능&quot;,2025-05-02T06:04:00Z,시대의 갈증을 읽어내기 위해 평소 <b>뉴스</b> 댓글을 유심히 관찰한다고 밝힌 그는 &quot;아무리 기술이 발달해도... 현장에서 오간 이야기는 5월 10일부터 롱블랙 웹페이지를 통해 요약 소개된다. 한경잡앤조이 온라인<b>뉴스</b>팀 기자
NAVER,https://www.topstarnews.net/news/articleView.html?idxno=15654689,SKT, 해킹 피해→신규 가입·번호 이동 중단…유심 무상 교체 집중,2025-05-02T06:04:00Z,경우 100% 책임지겠다&quot;며 유심보호서비스를 기본적으로 제공하며 유심 무상 교체를 동시에 진행하고 있다. SKT는 현재 전국 매장에서 유심 무상 교체를 진행 중이며, 오는 5일부터 신규 가입이 중단된다. [톱스타<b>뉴스</b>=]
NAVER,http://www.yonhapnewstv.co.kr/MYH20250502150205897,[이시각헤드라인] 5월 2일 <b>뉴스</b>1번지,2025-05-02T06:03:00Z,■'대통령 되면 재판정지' 형소법 개정안 회부■ 대통령으로 당선되면 진행 중인 형사재판 절차를 정지할 수 있도록 하는 내용의 형사소송법 개정안이 국회 법사위 소부에 회부됐습니다. 국민의힘 반발 속 민주당 주도로... 
NAVER,http://www.edaily.co.kr/news/newspath.asp?newsid=04083606642164984,SKT &quot;복제폰 제작 불가, 해커 통화·문자 탈취 못해&quot;,2025-05-02T06:02:00Z,유심 복제 관련 질문에 답하는 류정환 SKT 부사장(사진=연합<b>뉴스</b>) -해커가 유심 정보를 알면 계좌의 돈도 훔쳐갈 수 있나? △4월 29일 정부 합동 조사 결과에 의해 발표된 1차 조사에서 유심 관련 정보만 유출됐다고 나왔다.... 
NAVER,https://www.newspim.com/news/view/20250502000692,日, 6월 G7정상회의서 관세협상 합의 시나리오 부상,2025-05-02T06:02:00Z,[사진=로이터 <b>뉴스</b>핌] 양측이 6월 정상회담 시점을 목표로 삼는 데는 각각의 사정이 작용하고 있는 것으로 보인다. 트럼프 대통령은 각종 관세 조치를 내놓았지만, 상호 관세 발동 90일 유예나 자동차부품 관세 부담 완화... 
NAVER,http://www.yonhapnewstv.co.kr/MYH20250501173408006,[CEO풍향계] '유심 해킹 악재' 유영상…'트럼프 주니어 방한' 정용진,2025-05-02T06:01:00Z,도널드 트럼프 미국 대통령의 장남 트럼프 주니어 방한으로 <b>뉴스</b> 관심도가 다시한번 높아졌습니다. 트럼프 주니어를 한국으로 초청한 게 정용진 회장입니다. 트럼프 주니어, 우리나라 재계 총수들과 두루 만났는데... 
NAVER,https://imnews.imbc.com/replay/2025/nw1400/article/6712445_36776.html,[맞수다] 대법 선고 직후 짜맞추기 출마?‥&quot;공교롭게 한날한시&quot; &quot;음모론...,2025-05-02T06:00:00Z,출연 : 정광재 국민의힘 대변인 / 박성민 전 더불어민주당 최고위원 기사 본문의 인터뷰 내용을 인용할 경우, [MBC <b>뉴스</b>외전]과의 인터뷰라고 밝혀주시기 바랍니다.
NAVER,https://www.sisajournal.com/news/articleView.html?idxno=332050,[포토<b>뉴스</b>] '황금연휴' 공항에 여행객 우르르…해외로, 국내로 떠난다,2025-05-02T06:00:00Z,&quot;출국보다 힘든 SK텔레콤 유심 교체&quot; 5월1일 오전 황금연휴를 맞은 인천국제공항 1터미널 출국장은 여행객들로 북새통을 이뤘다(사진). 연휴기간 인천공항은 하루 평균 약 20만 명의 여행객이 몰리며 최대 혼잡이 있을... 
NAVER,https://www.jemin.com/news/articleView.html?idxno=799078,SKT, 유심 정보 해킹 사건에 대한 해명,2025-05-02T06:00:00Z,사진=연합<b>뉴스</b> SK텔레콤의 유심 정보 해킹 사건에 대한 논란이 계속되고 있다. SK텔레콤은 유심보호서비스와 비정상인증시도 차단(FDS) 시스템이 가동되고 있어 복제폰을 만들 수도 없지만 설사 복제가 가능하다고 해도... 
